customer_id,rationale,suggested_action
1149,"Some risk signals present (support tone, switching intent), below the threshold for escalation.","Monitor - no immediate action required, revisit if signals increase."
1121,"Some risk signals present (satisfaction, support tone, switching intent), below the threshold for escalation.","Monitor - no immediate action required, revisit if signals increase."
1104,"Some risk signals present (switching intent, billing), below the threshold for escalation.","Monitor - no immediate action required, revisit if signals increase."
1158,"Some risk signals present (satisfaction, support tone, switching intent), below the threshold for escalation.","Monitor - no immediate action required, revisit if signals increase."
1114,"Some risk signals present (satisfaction, switching intent), below the threshold for escalation.","Monitor - no immediate action required, revisit if signals increase."
1148,"Some risk signals present (billing), below the threshold for escalation.","Monitor - no immediate action required, revisit if signals increase."
1047,"Some risk signals present (switching intent), below the threshold for escalation.","Monitor - no immediate action required, revisit if signals increase."
1109,"Some risk signals present (support tone, switching intent), below the threshold for escalation.","Monitor - no immediate action required, revisit if signals increase."
1032,Moderate risk signals present but none individually concerning.,"Monitor - no immediate action required, revisit if signals increase."
1180,"Some risk signals present (satisfaction, switching intent), below the threshold for escalation.","Monitor - no immediate action required, revisit if signals increase."
1139,"Some risk signals present (support tone, switching intent), below the threshold for escalation.","Monitor - no immediate action required, revisit if signals increase."
1036,"Some risk signals present (support tone, switching intent), below the threshold for escalation.","Monitor - no immediate action required, revisit if signals increase."
1081,"Some risk signals present (switching intent), below the threshold for escalation.","Monitor - no immediate action required, revisit if signals increase."
1145,"Some risk signals present (switching intent), below the threshold for escalation.","Monitor - no immediate action required, revisit if signals increase."
1028,"Some risk signals present (support tone, switching intent), below the threshold for escalation.","Monitor - no immediate action required, revisit if signals increase."
1135,"Some risk signals present (switching intent), below the threshold for escalation.","Monitor - no immediate action required, revisit if signals increase."
1055,"Some risk signals present (support tone, switching intent), below the threshold for escalation.","Monitor - no immediate action required, revisit if signals increase."
1017,"Some risk signals present (satisfaction, support tone, switching intent), below the threshold for escalation.","Monitor - no immediate action required, revisit if signals increase."
1119,"Some risk signals present (satisfaction, switching intent), below the threshold for escalation.","Monitor - no immediate action required, revisit if signals increase."
1163,"Some risk signals present (switching intent), below the threshold for escalation.","Monitor - no immediate action required, revisit if signals increase."
1170,"Some risk signals present (switching intent), below the threshold for escalation.","Monitor - no immediate action required, revisit if signals increase."
1103,"Some risk signals present (support tone, switching intent), below the threshold for escalation.","Monitor - no immediate action required, revisit if signals increase."
1122,"Some risk signals present (support tone), below the threshold for escalation.","Monitor - no immediate action required, revisit if signals increase."
1008,"Some risk signals present (support tone, switching intent), below the threshold for escalation.","Monitor - no immediate action required, revisit if signals increase."
1147,"Some risk signals present (satisfaction), below the threshold for escalation.","Monitor - no immediate action required, revisit if signals increase."
1074,Moderate risk signals present but none individually concerning.,"Monitor - no immediate action required, revisit if signals increase."
1025,"Some risk signals present (switching intent), below the threshold for escalation.","Monitor - no immediate action required, revisit if signals increase."
1124,"Some risk signals present (switching intent), below the threshold for escalation.","Monitor - no immediate action required, revisit if signals increase."
1056,"Some risk signals present (support tone), below the threshold for escalation.","Monitor - no immediate action required, revisit if signals increase."
1027,"Some risk signals present (switching intent), below the threshold for escalation.","Monitor - no immediate action required, revisit if signals increase."
1113,"Some risk signals present (switching intent), below the threshold for escalation.","Monitor - no immediate action required, revisit if signals increase."
1068,"Some risk signals present (satisfaction), below the threshold for escalation.","Monitor - no immediate action required, revisit if signals increase."
1112,"Some risk signals present (switching intent), below the threshold for escalation.","Monitor - no immediate action required, revisit if signals increase."
1151,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1169,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1141,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1044,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1133,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1066,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1003,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1096,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1155,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1082,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1132,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1144,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1094,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1080,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1022,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1097,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1130,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1107,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1020,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1064,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1168,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1162,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1040,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1015,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1041,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1012,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1073,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1018,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1001,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1086,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1134,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1061,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1004,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1159,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1098,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1161,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1092,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1016,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1051,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1057,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1111,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1108,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1128,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1140,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1136,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1087,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1060,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1173,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1129,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1035,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1179,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1085,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1177,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1065,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1142,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1120,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1152,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1127,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1030,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1102,Insufficient signal for a confident assessment.,Insufficient signal for confident assessment - recommend proactive check-in
1072,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1091,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1019,Insufficient signal for a confident assessment.,Insufficient signal for confident assessment - recommend proactive check-in
1013,Insufficient signal for a confident assessment.,Insufficient signal for confident assessment - recommend proactive check-in
1043,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1174,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1005,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1079,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1083,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1125,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1110,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1095,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1089,Insufficient signal for a confident assessment.,Insufficient signal for confident assessment - recommend proactive CSAT outreach
1011,Insufficient signal for a confident assessment.,Insufficient signal for confident assessment - recommend proactive check-in
1054,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1116,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
1150,Insufficient signal for a confident assessment.,Insufficient signal for confident assessment - recommend proactive CSAT outreach
1160,Insufficient signal for a confident assessment.,Insufficient signal for confident assessment - recommend proactive CSAT outreach
1165,Stable - no significant concerns across available signals.,No action needed - continue standard engagement.
